07rv,613,
32gun,915,
aggravated assault,359,
aircraft,18,
argue,2833,
arrest,1959,
arson,3,
assembly or gathering violations,29,
auto theft,231,
auto theft recovery,29,
ballist,813,
ballistics,43,
benoprop,1367,
biothreat,3,
bomb,166,
bomb hoax,1,
burgtools,52,
commercial burglary,53,
confidence games,136,
counterfeiting,64,
crimes against children,579,
criminal harassment,13,
death investigation,937,
disorderly,1827,
disorderly conduct,158,
drug charges,12042,
drug violation,561,
embezellment,220,
embezzlement,7,
evading fare,16,
explos,39,
explosives,2,
fire,1848,
fire related reports,80,
firearm discovery,4,
firearm violations,89,
forgery,1296,
fraud,187,
gambling offense,13,
gather,1009,
harass,380,
harbor,235,
harbor related incidents,8,
hatecrim,35,
hazardous,689,
homicide,7,
indecent assault,34,
investigate person,800,
investigate property,369,
invper,12937,
invprop,6592,
invveh,56,
labor,8,
landlord,1001,
landlord/tenant disputes,36,
larceny,1288,
larceny from motor vehicle,523,
license plate related incidents,34,
license violation,48,
licviol,1292,
liquor violation,25,
manslaug,9,
medassist,17128,
medical assistance,709,
missing person located,81,
missing person reported,174,
motor vehicle accident response,1399,
mvacc,13832,
offenses against child/family,38,
operating under influence,717,
operating under the influence,23,
other,697,
other burglary,22,
other larceny,24443,
persloc,4745,
persmiss,1139,
phonecalls,1525,
plates,404,
police service incidents,122,
prison,173,
prisoner related incidents,14,
propdam,731,
property found,167,
property lost,396,
property related damage,49,
propfound,4316,
proplost,8522,
prostitution,13,
prostitution charges,338,
pubdrink,1123,
rape and attempted,2,
recovered stolen property,51,
residential burglary,382,
restrain,733,
restraining order violations,68,
robbery,219,
runaway,30,
search warrants,19,
searchwarr,737,
service,5353,
sex offender registration,19,
sexreg,795,
simple assault,637,
skipfare,459,
stolen property charges,815,
towed,330,
trespass,1276,
val,27363,
vandalism,629,
verbal disputes,361,
violation of liquor laws,540,
violations,228,
warrant arrests,167,
weapons charge,1191,
